Player,Nation,Pos,Squad,Comp,Age,MP,G/90,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,AerWon,Cluster
Brenden Aaronson,USA,MFFW,Leeds United,Premier League,22,20,1,550,411,74.73,2,45,2,4.44,9,6,0
Himad Abdelli,FRA,MFFW,Angers,Ligue 1,23,14,0,424,342,80.66,0,9,3,33.33,12,8,0
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,20,1,1297,1189,91.67,0,7,2,28.57,16,10,0
Matthis Abline,FRA,FWMF,Auxerre,Ligue 1,19,5,1,21,15,71.43,0,2,1,50.0,1,3,1
Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,11,1,15,7,46.67,0,2,0,0.0,1,1,1
Abner,BRA,DF,Betis,La Liga,22,4,0,164,118,71.95,0,4,0,0.0,7,3,1
Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,22,5,424,295,69.58,4,16,1,6.25,12,7,1
Mohamed Achi,FRA,FW,Nantes,Ligue 1,21,2,0,21,18,85.71,0,1,0,0.0,1,0,1
Tyler Adams,USA,MF,Leeds United,Premier League,23,19,0,1088,893,82.08,0,2,0,0.0,38,17,0
Martin Adeline,FRA,MFFW,Reims,Ligue 1,19,5,0,41,29,70.73,0,0,0,,3,6,1
Karim Adeyemi,GER,FWMF,Dortmund,Bundesliga,21,15,2,280,206,73.57,1,15,0,0.0,6,7,1
Amine Adli,FRA,FW,Leverkusen,Bundesliga,22,13,1,240,191,79.58,2,6,0,0.0,8,11,1
Yacine Adli,FRA,MFFW,Milan,Serie A,22,4,0,60,38,63.33,0,4,0,0.0,3,0,1
Felix Afena-Gyan,GHA,FWMF,Cremonese,Serie A,20,12,0,90,71,78.89,0,3,0,0.0,2,8,1
Lucien Agoume,FRA,MF,Troyes,Ligue 1,21,5,0,182,151,82.97,0,3,1,33.33,7,10,1
Felix Agu,GER,DFFW,Werder Bremen,Bundesliga,23,3,0,27,17,62.96,0,1,0,0.0,0,1,1
Naouirou Ahamada,FRA,MFFW,Crystal Palace,Premier League,20,2,0,12,9,75.0,0,1,0,0.0,0,0,1
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,17,2,530,450,84.91,2,6,2,33.33,11,7,0
Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,1,0,11,7,63.64,0,0,0,,1,0,1
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,21,17,1,491,399,81.26,0,21,5,23.81,16,13,0
Emanuel Aiwum,AUT,DF,Cremonese,Serie A,22,15,0,541,416,76.89,0,4,1,25.0,26,19,0
Maghnes Akliouche,FRA,MFDF,Monaco,Ligue 1,20,6,0,104,78,75.0,0,9,0,0.0,3,2,1
Carlos Alcaraz,ARG,MF,Southampton,Premier League,20,3,1,49,37,75.51,0,0,0,,2,0,1
Doðan Alemdar,TUR,GK,Rennes,Ligue 1,20,3,0,72,49,68.06,0,0,0,,0,2,1
Alejandro Alfaro,ESP,MF,Elche,La Liga,20,1,0,1,1,100.0,0,0,0,,0,0,1
Ángel Algobia,ESP,MF,Getafe,La Liga,23,14,0,369,304,82.38,0,7,3,42.86,7,6,1
Mohamed Ali Cho,FRA,FW,Real Sociedad,La Liga,19,8,0,74,46,62.16,2,15,3,20.0,3,1,1
Faride Alidou,GER,DFMF,Eint Frankfurt,Bundesliga,21,9,0,56,42,75.0,0,2,1,50.0,4,1,1
Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,18,2,686,559,81.49,3,45,6,13.33,24,9,0
Carlos Álvarez,ESP,FW,Sevilla,La Liga,19,1,0,0,0,,0,0,0,,1,0,1
Gastón Álvarez,URU,DF,Getafe,La Liga,22,10,2,204,134,65.69,0,5,1,20.0,9,14,1
Julián Álvarez,ARG,FWMF,Manchester City,Premier League,23,16,4,201,159,79.1,0,8,1,12.5,5,5,1
Agustín Álvarez Martínez,URU,FWMF,Sassuolo,Serie A,21,16,1,65,52,80.0,1,2,0,0.0,2,8,1
Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,1,0,17,12,70.59,0,0,0,,1,1,1
Bruno Amione,ARG,DF,Sampdoria,Serie A,21,10,0,418,322,77.03,1,3,1,33.33,14,29,1
Ethan Ampadu,WAL,DFMF,Spezia,Serie A,22,16,0,736,550,74.73,1,10,4,40.0,25,35,0
Elliot Anderson,SCO,FWMF,Newcastle Utd,Premier League,20,10,0,73,56,76.71,0,3,0,0.0,3,5,1
Jaidon Anthony,ENG,MFFW,Bournemouth,Premier League,23,17,3,344,251,72.97,0,31,5,16.13,13,8,1
Janis Antiste,FRA,FW,Sassuolo,Serie A,20,2,1,17,13,76.47,0,0,0,,0,2,1
Marcos Antônio,BRA,MF,Lazio,Serie A,22,11,0,204,182,89.22,0,0,0,,4,0,1
Antony,BRA,FW,Manchester Utd,Premier League,22,12,3,413,319,77.24,0,18,0,0.0,3,3,1
Valentin Antov,BUL,DF,Monza,Serie A,22,4,0,112,92,82.14,0,1,0,0.0,4,3,1
Adil Aouchiche,FRA,MFFW,Lorient,Ligue 1,20,6,0,56,42,75.0,0,7,0,0.0,0,0,1
Ronald Araújo,URU,DF,Barcelona,La Liga,23,10,0,625,555,88.8,1,1,0,0.0,9,20,0
Cameron Archer,ENG,FWMF,Aston Villa,Premier League,21,6,0,13,9,69.23,0,1,0,0.0,0,0,1
Taïryk Arconte,FRA,FWMF,Brest,Ligue 1,19,2,0,1,1,100.0,0,0,0,,0,0,1
Roberto Arroyo,ESP,MF,Valladolid,La Liga,19,1,0,4,0,0.0,0,1,0,0.0,1,0,1
